Code,Name,year1959,year1970,year1979,year1989,year2002,year2010,year2013,year2014
MOW,Moscow,5085581,7061008,8010954,8967232,10382754,11503501,11979529,12108257
MOS,Moscow Oblast,5863003,5774529,6359385,6693623,6618538,7095120,7048084,7133620
KDA,Krasnodar Krai,3477809,4124163,4410331,4680560,5125221,5226647,5330181,5404273
SPE,St. Petersburg,3321196,3949501,4588183,5023506,4661219,4879566,5028000,5131942
SVE,Sverdlovsk Oblast,4044416,4319741,4453491,4716768,4486214,4297747,4315830,4320677
ROS,Rostov Oblast,3311747,3831262,4080647,4308654,4404013,4277976,4254613,4245532
BA,Republic of Bashkortostan,3341609,3818075,3848627,3950482,4104336,4072292,4060957,4069698
TA,Republic of Tatarstan,2850417,3131238,3435644,3637809,3779265,3786488,3822038,3838230
TYU,Tyumen Oblast,1092126,1406101,1887152,3080621,3264841,3395755,3510683,3546345
CHE,Chelyabinsk Oblast,2976625,3288801,3438866,3623732,3603339,3476217,3485272,3490053
NIZ,Nizhny Novgorod Oblast,3590274,3682484,3695523,3714322,3524028,3310597,3289841,3281496
SAM,Samara Oblast,2258359,2750926,3092866,3265586,3239737,3215532,3213289,3211187
DA,Republic of Dagestan,1062472,1428540,1627884,1802579,2576531,2910249,2946035,2963918
KYA,Krasnoyarsk Krai,2204051,2516167,2697474,3027655,2966042,2828187,2846475,2852810
STA,Stavropol Krai,1604952,1961129,2170876,2439628,2735139,2786281,2790785,2794508
KEM,Kemerovo Oblast,2785872,2918353,2958066,3176335,2899142,2763135,2742450,2734075
NVS,Novosibirsk Oblast,2298481,2505249,2618024,2782005,2692251,2665911,2709461,2731176
PER,Perm Krai,2992876,3023443,3011540,3099994,2819421,2635276,2634461,2636154
VGG,Volgograd Oblast,1853928,2322910,2475245,2593944,2699223,2610161,2583002,2569126
SAR,Saratov Oblast,2162751,2454083,2559977,2686483,2668310,2521892,2503305,2496552
IRK,Irkutsk Oblast,1976453,2313410,2559522,2830641,2581705,2428750,2422026,2418348
ALT,Altai Krai,2526104,2502000,2502779,2630656,2607426,2419755,2398751,2390638
VOR,Voronezh Oblast,2368695,2526928,2478544,2469766,2378803,2335380,2330377,2328959
ORE,Orenburg Oblast,1829481,2049976,2088553,2174459,2179551,2033072,2016086,2008566
OMS,Omsk Oblast,1645017,1823831,1954663,2140336,2079220,1977665,1973985,1973876
CRI,Crimea Republic,1049395,1558567,1849840,2065829,2008700,1954800,1956422,1958504
PRI,Primorsky Krai,1381018,1721285,1977779,2258391,2071210,1956497,1947263,1938516
LEN,Leningrad Oblast,1244991,1435729,1519165,1661173,1669205,1716868,1751135,1763924
KHM,Khanty–Mansi Autonomous Okrug,123926,271157,569139,1268439,1432817,1532243,1584063,1597248
BEL,Belgorod Oblast,1226328,1261140,1304675,1380723,1511620,1532526,1540985,1544108
TUL,Tula Oblast,1920308,1952467,1906176,1867013,1675758,1553925,1532436,1521497
UD,Udmurt Republic,1336927,1417675,1493670,1609003,1570316,1521420,1517692,1517050
VLA,Vladimir Oblast,1402910,1510913,1580382,1653938,1523990,1443693,1421742,1413321
PNZ,Penza Oblast,1507765,1535970,1503198,1504309,1452941,1386186,1368657,1360587
CE,Chechen Republic,710424,1064471,1153450,1275513,1103686,1268989,1324767,1346438
KHA,Khabarovsk Krai,979679,1173458,1375752,1608569,1436570,1343869,1342083,1339912
TVE,Tver Oblast,1806787,1717237,1649022,1670117,1471459,1353392,1334061,1325249
KIR,Kirov Oblast,1913600,1727348,1661546,1692655,1503529,1341312,1319076,1310929
YAR,Yaroslavl Oblast,1395627,1400224,1424806,1470357,1367398,1272468,1271672,1271766
ULY,Ulyanovsk Oblast,1117359,1224748,1270036,1400806,1382811,1292799,1274487,1267561
BRY,Bryansk Oblast,1549945,1581950,1506850,1474785,1378941,1278217,1253666,1242599
CU,Chuvash Republic,1097859,1223675,1292486,1336066,1313754,1251619,1243431,1239984
VLG,Vologda Oblast,1307531,1295897,1309799,1353870,1269568,1202444,1196196,1193371
ARK,Arkhangelsk Oblast,1267186,1401289,1467069,1570256,1336539,1227626,1202295,1191785
LIP,Lipetsk Oblast,1141567,1224344,1224653,1230220,1213499,1173513,1162235,1159866
RYA,Ryazan Oblast,1444755,1411590,1361839,1345924,1227910,1154114,1144650,1140844
KRS,Kursk Oblast,1483305,1473864,1398889,1339414,1235091,1127081,1119262,1118915
ZAB,Zabaykalsky Krai,1036387,1144918,1233435,1377975,1155346,1107107,1095169,1090344
TOM,Tomsk Oblast,746802,785706,865934,1001613,1046039,1047394,1064245,1070128
TAM,Tambov Oblast,1549001,1511938,1390048,1320763,1178443,1091994,1075748,1068934
IVA,Ivanovo Oblast,1322152,1339110,1320968,1317117,1148329,1061651,1048961,1043130
AST,Astrakhan Oblast,701974,867483,915548,998114,1005276,1010073,1013840,1016516
KLU,Kaluga Oblast,935852,994876,1006973,1066833,1041641,1010930,1005585,1004544
BU,Republic of Buryatia,673326,812251,900812,1041119,981238,972021,971810,973860
SMO,Smolensk Oblast,1142969,1106066,1120748,1158299,1049574,985537,975188,967896
KGD,Kaliningrad Oblast,610885,731936,806864,871283,955281,941873,954773,963128
SA,Sakha Republic,487343,664123,838808,1081408,949280,958528,955580,954803
KGN,Kurgan Oblast,999170,1085560,1080274,1104872,1019532,910807,885759,877149
KO,Komi Republic,815799,964802,1118421,1261024,1018674,901189,880639,872057
KB,Kabardino-Balkar Republic,420115,588203,674605,759586,901494,859939,858946,858397
MO,Republic of Mordovia,1001994,1029562,990617,964132,888766,834755,818566,812156
AMU,Amur Oblast,717514,793449,937389,1057781,902844,830103,816910,811274
MUR,Murmansk Oblast,567672,799527,965462,1146757,892534,795409,780401,771058
ORL,Oryol Oblast,929013,931028,892505,890636,860262,786935,775826,769980
SE,Republic of North Ossetia–Alania,450581,552581,596921,634009,710275,712980,706123,703977
ME,Mari El Republic,647680,684748,702744,749386,727979,696459,690349,688686
PSK,Pskov Oblast,951866,875293,850035,846449,760810,673423,661507,656561
KOS,Kostroma Oblast,921945,870575,803870,809882,736641,667562,658906,656389
KR,Republic of Karelia,651346,713451,736022,791317,716281,643548,636932,634402
NGR,Novgorod Oblast,736529,721471,721790,753054,694355,634111,625855,622430
YAN,Yamalo-Nenets Autonomous Okrug,62334,79977,157616,486164,507006,522904,541612,539671
KK,Republic of Khakassia,411047,445824,500106,568605,546072,532403,533025,534079
SAK,Sakhalin Oblast,649405,615652,654915,709629,546695,497973,493302,491027
KC,Karachay–Cherkess Republic,277959,344651,368343,417560,439470,477859,471847,469837
IN,Republic of Ingushetia,467294,467294,467294,467294,467294,412529,442255,453010
AD,Republic of Adygea,284690,385644,404504,432588,447109,439996,444403,446406
SEV,Sevastopol,152122,254935,333087,392826,376200,378858,381474,383907
KAM,Kamchatka Krai,220753,287612,378491,466096,358801,322079,320549,319864
TY,Tuva Republic,171928,230864,266453,309129,305510,307930,310460,311761
KL,Republic of Kalmykia,184857,267993,293528,322589,292410,289481,284140,282021
AL,Altai Republic,157161,168261,171835,191649,202947,206168,210344,211645
YEV,Jewish Autonomous Oblast,162856,172449,190219,215937,190915,176558,172671,170377
MAG,Magadan Oblast,188889,251297,332845,385340,182726,156996,152358,150312
CHU,Chukotka Autonomous Okrug,46689,101184,132859,157528,53824,50526,50780,50555
NEN,Nenets Autonomous Okrug,36881,39119,47001,54840,41546,42090,42789,43025
CENTR,Central Federal District,33489743,35649787,36741287,38126642,38000651,38427539,38678913,38819874
KRIM,Crimean Federal District,1201517,1813502,2182927,2458655,2384900,2333658,2337896,2342411
NORDKA,North Caucasian Federal District,4993797,6406869,7059373,7796169,8933889,9428826,9540758,9590085
NORDWE,Northwestern Federal District,11511882,12928015,14129811,15333529,14016012,13658147,13760522,13843683
OST,Far Eastern Federal District,4834146,5780509,6819057,7940679,6692865,6293129,6251496,6226640
PRIVOL,Volga Federal District,27648951,29753951,30647027,31785492,31154744,29899699,29772235,29738836
SIB,Siberian Federal District,16632629,18166834,19229103,21077718,20062938,19256426,19278201,19292740
SOUTH,Southern Federal District,9815005,11799455,12579803,13336449,13973252,13854334,13910179,13963874
URAL,Ural Federal District,9298597,10451337,11586538,14280596,14313749,14135673,14323219,14371143
